GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
0101;Межрайонная инспекция Федеральной налоговой службы №2 по Республике Адыгея;,385600,Адыгея Респ,Гиагинский р-н,,Гиагинская ст-ца,Советская ул,28,,;8(87779) 9-70-51;Код ОКПО:44554136. Режим работы:понедельник и среда с 09.00 до 18.00,вторник и четверг с 09.00 до 20.00, пятница с 09.00 по 16.45, первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горячей линии 8(87779)9-70-45;Управление федерального казначейства по Республике Адыгея;79605000,79605402,79605407,79605410,79605415,79605420,79615000,79615404,79615408,79615412,79615415,79615418,79615420,79615425,79615430,79615445,79618000,79618404,79618408,79618415,79618420,79618425,79618430,79618435,79640000,79640405,79640408,79640412,79640425,79640430,79640435;0101002332;010101001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА АДЫГЕЯ;047908001;;40101810100000010003;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье
0105;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;8(8772) 53-71-33;Код ОКПО:53001672. Режим работы:понедельник и среда с 9.00 по 18.00,вторник и четверг с 09.00 до 20.00,пятница с 09.00 по 16.45,первая и третья субботы месяца с 10.00 до 15.00. Выходной: суббота, воскресенье.Телефон горчей линии 8(8772)53-01-70;Управление федерального казначейства по Республике Адыгея;79622000,79622402,79622407,79622420,79622425,79622428,79622434,79622447,79622452,79622455,79622457,79701000;0105035988;010501001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА АДЫГЕЯ;047908001;;40101810100000010003;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье
0107;Межрайонная инспекция Федеральной налоговой службы №3 по Республике Адыгея;,385100,Адыгея Респ,Тахтамукайский р-н,,Тахтамукай аул,Ленина ул,60/1,,;8(87771) 9-90-10;Код ОКПО:53005865. Режим работы:понедельник и среда с 9.00 по 18.00, вторник и четверг с 09.00 до 20.00,пятница с 09.00 по 16.45,первая и третья субботы месяца с 10.00 до 15.00. Выходной суббота, воскресенье.Телефон горячей линии 8(87771)9-90-30;Управление федерального казначейства по Республике Адыгея;79630000,79630157,79630159,79630405,79630415,79630417,79630419,79630420,79633000,79633155,79633405,79633410,79633415,79633430,79633433,79633445,79703000;0107002064;010701001;ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА АДЫГЕЯ;047908001;;40101810100000010003;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье;01015;Межрайонная инспекция Федеральной налоговой службы №1 по Республике Адыгея;385009,Республика Адыгея,г. Майкоп, ул. Привокзальная, 331;8(8772)53-71-33;Режим работы: с 9.00-18.00 перерыв с 13-00 до 14-00 выходные: суббота, воскресенье
0256;Межрайонная инспекция Федеральной налоговой службы № 20 по Республике Башкортостан;,453505,Башкортостан Респ,,Белорецк г,,Кирова ул,48,,;347-92-3-81-11;Код ОКПО:52984402. Режим приема: Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80605461,80611000,80611101,80611404,80611407,80611410,80611415,80611416,80611417,80611418,80611420,80611422,80611425,80611427,80611434,80611440,80611443,80611446,80611448,80611449,80611452,80611455,80619000,80619404,80619407,80619409,80619410,80619413,80619416,80619419,80619420,80619422,80619425,80619430,80619440,80653000,80653101,80653410,80653415,80653416,80653420,80653425,80653430,80653440,80653445,80653448,80653449,80653450,80653455,80653465,80653470,80653484,80653488,80653491,80653496,80707000;0256012781;025601001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
0261;Межрайонная инспекция Федеральной налоговой службы № 25 по Республике Башкортостан;,453215,Башкортостан Респ,,Ишимбай г,,Стахановская ул,65,,;34794-2-90-30;Код ОКПО:12752171. Режим приема: Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80626000,80626404,80626405,80626406,80626407,80626410,80626416,80626419,80626422,80626425,80626428,80626431,80626434,80626437,80626440,80626443,80631000,80631101,80631405,80631415,80631425,80631430,80631435,80631440,80631445,80631450,80631455,80631460,80631470,80631475,80631480,80638000,80638405,80638410,80638415,80638420,80638425,80638430,80638440,80638445,80638450,80638455,80638460,80638463,80638470,80638473,80638475,80638480,80638483,80638485,80638487,80638495,80639000,80639410,80639412,80639415,80639417,80639420,80639425,80639435,80639440,80639450,80639455,80639460,80639465,80641101,80641402,80641405,80641410,80641415,80641422,80641430,80641435,80641445,80641450,80641455,80641460,80641465,80641470,80641475,80641480,80641485,80654000,80654405,80654410,80654415,80654416,80654417,80654420,80654425,80654427,80654430,80654440,80654445,80654450,80654455,80654460,80723000,80739000;0261009022;026101001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
0264;Межрайонная инспекция Федеральной налоговой службы № 29 по Республике Башкортостан;,452680,Башкортостан Респ,,Нефтекамск г,,Строителей ул,19,,;34783-2-83-41;Код ОКПО:12752202. Режим приема: Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80608000,80608404,80608407,80608413,80608416,80608419,80608422,80608425,80608428,80608431,80608434,80608437,80608440,80608441,80608443,80608448,80618000,80618404,80618407,80618413,80618416,80618419,80618422,80618425,80618428,80618431,80618437,80618440,80618443,80618446,80633000,80633403,80633405,80633415,80633420,80633425,80633430,80633445,80633446,80633447,80633450,80633452,80637000,80637405,80637410,80637412,80637415,80637420,80637421,80637425,80637430,80637435,80637440,80637443,80637450,80637461,80637465,80650000,80650405,80650410,80650415,80650420,80650425,80650430,80650435,80650440,80650445,80650450,80650455,80650460,80650465,80659000,80659101,80659410,80659415,80659420,80659430,80659435,80659440,80659445,80659450,80659453,80659455,80659460,80659465,80659470,80659475,80659480,80659485,80659490,80659495,80703000,80727000;0264054866;026401001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
0267;Межрайонная инспекция Федеральной налоговой службы № 37 по Республике Башкортостан;,453833,Башкортостан Респ,,Сибай г,,Маяковского ул,31/1,,;34775-2-61-61;Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00-20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца:10.00 -15.00 (без перерыва на обед) остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80601000,80601404,80601407,80601410,80601413,80601416,80601419,80601422,80601425,80601428,80601431,80601434,80601437,80601440,80601443,80601446,80606000,80606101,80606404,80606407,80606409,80606410,80606413,80606416,80606422,80606425,80606428,80606431,80606434,80606437,80606438,80606440,80606442,80606443,80606446,80606449,80606452,80606453,80606455,80606459,80627000,80627404,80627410,80627413,80627416,80627419,80627421,80627422,80627423,80627425,80627432,80627434,80627436,80627442,80655000,80655405,80655410,80655415,80655420,80655424,80655425,80655430,80655432,80655433,80655435,80655440,80655445,80655450,80655455,80743000;0267013530;026701001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
0268;Межрайонная инспекция Федеральной налоговой службы № 3 по Республике Башкортостан;,453100,Башкортостан Респ,,Стерлитамак г,,Октября пр-кт,34,,;3473-23-95-27;Код ОКПО:12752248. Режим приема: Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80605000,80605402,80605404,80605407,80605410,80605413,80605416,80605419,80605422,80605425,80605428,80605431,80605434,80605437,80605440,80605443,80605446,80605449,80605452,80605458,80605461,80605472,80621000,80621407,80621410,80621413,80621414,80621416,80621419,80621422,80621423,80621425,80621428,80621431,80621434,80621437,80621440,80621443,80621446,80648000,80648402,80648405,80648410,80648415,80648418,80648420,80648425,80648430,80648435,80648440,80648445,80648455,80648460,80648465,80648470,80649000,80649404,80649412,80649416,80649418,80649420,80649424,80649428,80649436,80649440,80649444,80649448,80649452,80649456,80649460,80649464,80649468,80649478,80649480,80649488,80649492,80745000;0268012257;026801001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
0269;Межрайонная инспекция Федеральной налоговой службы № 27 по Республике Башкортостан;,452750,Башкортостан Респ,,Туймазы г,,Мусы Джалиля ул,13,,;34782-5-91-91;Код ОКПО:12752260. Режим приема: Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80607000,80607404,80607407,80607410,80607413,80607419,80607425,80607428,80607431,80607434,80607440,80607446,80607449,80607451,80607455,80607458,80607461,80607464,80609000,80609101,80609165,80609401,80609402,80609404,80609407,80609410,80609413,80609416,80609419,80609425,80609428,80609431,80609434,80609437,80609440,80609443,80612000,80612404,80612407,80612410,80612413,80612416,80612419,80612422,80612425,80612428,80612431,80612440,80612442,80612443,80625000,80625402,80625404,80625407,80625411,80625413,80625416,80625422,80625425,80625428,80625431,80625434,80625437,80625440,80644000,80644405,80644410,80644415,80644420,80644425,80644428,80644429,80644430,80644435,80644440,80644445,80644450,80644460,80644465,80644470,80651000,80651101,80651405,80651410,80651415,80651417,80651420,80651425,80651427,80651430,80651435,80651439,80651440,80651445,80651447,80651455,80651461,80651465,80651470,80651475,80658000,80658405,80658410,80658415,80658420,80658425,80658430,80658435,80658440,80658445,80658455,80658465,80658475,80658485,80735000;0269004690;026901001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
0272;Межрайонная инспекция Федеральной налоговой службы № 30 по Республике Башкортостан;,450095,,,Уфа г,,Левитана ул,14,,;347-224-82-82;Код ОКПО:31227246. Режим приема: Понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, вторая и четвертая субботы месяца: 10.00 - 15.00, остальные субботы, воскресенье: выходные дни.;Управление Федерального казначейства по Республике Башкортостан;80603000,80603404,80603410,80603413,80603416,80603419,80603422,80603425,80603428,80603434,80603440,80603446,80603450,80614000,80614404,80614407,80614410,80614413,80614416,80614419,80614422,80614423,80614424,80614428,80614431,80614434,80614437,80614440,80614443,80617000,80617404,80617407,80617410,80617413,80617416,80617419,80617422,80617425,80617431,80617437,80617440,80617446,80635000,80635405,80635415,80635420,80635423,80635425,80635430,80635435,80635440,80635445,80635450,80635451,80635455,80635465,80635470,80635475,80635480,80652000,80652403,80652405,80652410,80652415,80652418,80652420,80652423,80652425,80652430,80652435,80652440,80652450,80652452,80652455,80652460,80652472,80652473,80652475,80652480,80657000,80657151,80657405,80657410,80657415,80657420,80657425,80657430,80657435,80657440,80657445,80657446,80657450,80657455,80657465,80657470,80657475,80701000;0272015010;027201001;Отделение-НБ Республика Башкортостан;048073001;;40101810100000010001;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15;02123;Межрайонная инспекция Федеральной налоговой службы № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 229-02-00, (347) 229-02-10;Понедельник - четверг: 8.30 - 17.30, пятница: 8.30 - 16.15
